AbstractID,data_id,reg_date,email,published,X1.year.Impact.Factor,journal.s.web.site,platform,reference,year,Author.1
5,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
6,11,NA,NA,No,NA,NA,NA,NA,2003,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
16,118,NA,NA,Yes,1.692,NA,NA,NA,2003,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
49,116,NA,NA,Yes,5.017,NA,NA,NA,2004,NA
71,24,NA,NA,No,NA,NA,NA,NA,2004,NA
76,64,NA,NA,Yes,2.76,NA,NA,NA,2005,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
89,3,NA,NA,No,NA,NA,NA,NA,2005,NA
90,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
95,1,NA,NA,Yes,4.13,NA,NA,NA,2005,NA
101,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
102,33,NA,NA,Yes,1.386,NA,NA,NA,2005,NA
120,81,NA,NA,Yes,6.681,NA,NA,NA,2006,NA
121,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
122,48,NA,NA,No,NA,NA,NA,NA,2006,NA
124,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
125,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
126,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
128,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
129,53,NA,NA,Yes,2.159,NA,NA,NA,2006,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
132,29,NA,NA,Yes,5.017,NA,NA,NA,2006,NA
134,109,NA,NA,No,NA,NA,NA,NA,2006,NA
135,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
136,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
137,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
138,132,NA,NA,No,NA,NA,NA,NA,2006,NA
139,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
141,102,NA,NA,Yes,5.017,NA,NA,NA,2006,NA
142,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
143,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
148,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
149,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
150,82,NA,NA,No,NA,NA,NA,NA,2006,NA
151,34,NA,NA,Yes,1.386,NA,NA,NA,2006,NA
160,123,NA,NA,No,NA,NA,NA,NA,2006,NA
175,77,NA,NA,Yes,1.734,NA,NA,NA,2006,NA
189,30,NA,NA,Yes,0.796,NA,NA,NA,2007,NA
191,146,NA,NA,Yes,0.25,NA,NA,NA,2007,NA
193,59,NA,NA,No,NA,NA,NA,NA,2007,NA
196,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
197,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
198,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
199,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
200,144,NA,NA,Yes,1.973,NA,NA,NA,2007,NA
202,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
204,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
207,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
209,35,NA,NA,Yes,2.76,NA,NA,NA,2007,NA
210,125,NA,NA,No,NA,NA,NA,NA,2007,NA
215,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
216,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
217,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
218,42,NA,NA,Yes,1.743,NA,NA,NA,2007,NA
225,43,NA,NA,Yes,2.159,NA,NA,NA,2007,NA
226,55,NA,NA,Yes,2.688,NA,NA,NA,2007,NA
228,62,NA,NA,No,NA,NA,NA,NA,2007,NA
230,9,NA,NA,Yes,2.504,NA,NA,NA,2007,NA
231,141,NA,NA,No,NA,NA,NA,NA,2007,NA
232,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
244,14,NA,NA,Yes,0.25,NA,NA,NA,2007,NA
247,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
253,12,NA,NA,Yes,1.734,NA,NA,NA,2007,NA
269,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
270,36,NA,NA,Yes,2.76,NA,NA,NA,2008,NA
271,31,NA,NA,No,NA,NA,NA,NA,2008,NA
272,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
273,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
274,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
278,96,NA,NA,Yes,2.504,NA,NA,NA,2008,NA
279,85,NA,NA,Yes,NA,NA,NA,NA,2008,NA
281,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
283,44,NA,NA,Yes,1.883,NA,NA,NA,2008,NA
284,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
289,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
290,148,NA,NA,No,NA,NA,NA,NA,2008,NA
291,60,NA,NA,Yes,2.417,NA,NA,NA,2008,NA
292,134,NA,NA,Yes,2.504,NA,NA,NA,2008,NA
293,145,NA,NA,No,NA,NA,NA,NA,2008,NA
294,49,NA,NA,Yes,2.005,NA,NA,NA,2008,NA
295,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
297,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
298,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
299,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
300,63,NA,NA,No,NA,NA,NA,NA,2008,NA
303,86,NA,NA,Yes,2.504,NA,NA,NA,2008,NA
304,5,NA,NA,No,NA,NA,NA,NA,2008,NA
305,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
306,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
307,139,NA,NA,No,NA,NA,NA,NA,2008,NA
308,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
318,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
323,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
373,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
374,87,NA,NA,Yes,5.667,NA,NA,NA,2009,NA
377,88,NA,NA,No,NA,NA,NA,NA,2009,NA
378,61,NA,NA,No,NA,NA,NA,NA,2009,NA
379,7,NA,NA,No,NA,NA,NA,NA,2009,NA
380,10,NA,NA,No,NA,NA,NA,NA,2009,NA
381,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
383,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
385,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
387,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
390,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
391,45,NA,NA,Yes,NA,NA,NA,NA,2009,NA
392,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
393,40,NA,NA,No,NA,NA,NA,NA,2009,NA
395,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
396,89,NA,NA,No,NA,NA,NA,NA,2009,NA
397,50,NA,NA,No,NA,NA,NA,NA,2009,NA
398,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
399,15,NA,NA,No,NA,NA,NA,NA,2009,NA
401,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
402,126,NA,NA,Yes,2.005,NA,NA,NA,2009,NA
403,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
404,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
405,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
407,18,NA,NA,Yes,2.159,NA,NA,NA,2009,NA
408,135,NA,NA,No,NA,NA,NA,NA,2009,NA
411,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
412,37,NA,NA,Yes,2.76,NA,NA,NA,2009,NA
414,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
439,19,NA,NA,Yes,2.159,NA,NA,NA,2009,NA
444,58,NA,NA,Yes,2.067,NA,NA,NA,2009,NA
464,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
465,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
466,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
468,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
469,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
470,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
471,51,NA,NA,Yes,2.76,NA,NA,NA,2010,NA
472,90,NA,NA,Yes,NA,NA,NA,NA,2010,NA
473,38,NA,NA,No,NA,NA,NA,NA,2010,NA
474,117,NA,NA,No,NA,NA,NA,NA,2010,NA
475,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
476,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
477,66,NA,NA,No,NA,NA,NA,NA,2010,NA
478,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
479,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
480,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
481,23,NA,NA,No,NA,NA,NA,NA,2010,NA
482,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
485,150,NA,NA,No,NA,NA,NA,NA,2010,NA
486,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
487,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
488,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
490,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
492,121,NA,NA,No,NA,NA,NA,NA,2010,NA
495,6,NA,NA,No,NA,NA,NA,NA,2010,NA
498,120,NA,NA,Yes,1.973,NA,NA,NA,2010,NA
504,111,NA,NA,Yes,2,NA,NA,NA,2010,NA
505,136,NA,NA,Yes,1.022,NA,NA,NA,2010,NA
506,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
507,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
508,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
509,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
510,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
511,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
513,140,NA,NA,No,NA,NA,NA,NA,2010,NA
514,100,NA,NA,No,NA,NA,NA,NA,2010,NA
516,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
518,115,NA,NA,Yes,4.788,NA,NA,NA,2010,NA
530,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
559,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
562,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
570,79,NA,NA,Yes,NA,NA,NA,NA,2010,NA
574,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
581,105,NA,NA,Yes,1,NA,NA,NA,2010,NA
589,80,NA,NA,Yes,2.504,NA,NA,NA,2011,NA
590,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
592,91,NA,NA,No,NA,NA,NA,NA,2011,NA
593,4,NA,NA,No,NA,NA,NA,NA,2011,NA
594,39,NA,NA,No,NA,NA,NA,NA,2011,NA
595,65,NA,NA,No,NA,NA,NA,NA,2011,NA
597,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
599,124,NA,NA,Yes,3.251,NA,NA,NA,2011,NA
600,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
601,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
602,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
603,98,NA,NA,No,NA,NA,NA,NA,2011,NA
604,76,NA,NA,No,NA,NA,NA,NA,2011,NA
605,27,NA,NA,Yes,1.203,NA,NA,NA,2011,NA
606,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
607,110,NA,NA,No,NA,NA,NA,NA,2011,NA
608,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
609,103,NA,NA,No,NA,NA,NA,NA,2011,NA
610,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
611,20,NA,NA,Yes,2.76,NA,NA,NA,2011,NA
612,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
617,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
619,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
621,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
623,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
624,21,NA,NA,No,NA,NA,NA,NA,2011,NA
625,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
627,114,NA,NA,Yes,2.806,NA,NA,NA,2011,NA
628,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
629,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
630,128,NA,NA,Yes,2.504,NA,NA,NA,2011,NA
631,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
632,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
634,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
635,112,NA,NA,No,NA,NA,NA,NA,2011,NA
637,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
639,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
661,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
663,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
669,16,NA,NA,No,NA,NA,NA,NA,2012,NA
671,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
672,46,NA,NA,Yes,9.361,NA,NA,NA,2012,NA
674,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
675,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
676,99,NA,NA,No,NA,NA,NA,NA,2012,NA
677,129,NA,NA,No,NA,NA,NA,NA,2012,NA
678,72,NA,NA,No,NA,NA,NA,NA,2012,NA
680,113,NA,NA,No,NA,NA,NA,NA,2012,NA
681,68,NA,NA,No,NA,NA,NA,NA,2012,NA
682,78,NA,NA,No,NA,NA,NA,NA,2012,NA
683,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
685,92,NA,NA,No,NA,NA,NA,NA,2012,NA
686,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
687,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
688,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
689,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
691,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
693,41,NA,NA,No,NA,NA,NA,NA,2012,NA
695,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
696,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
698,152,NA,NA,Yes,1.883,NA,NA,NA,2012,NA
701,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
703,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
705,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
706,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
707,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
708,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
709,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
710,56,NA,NA,Yes,1.883,NA,NA,NA,2012,NA
712,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
713,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
716,137,NA,NA,Yes,NA,NA,NA,NA,2012,NA
717,32,NA,NA,No,NA,NA,NA,NA,2012,NA
735,25,NA,NA,No,NA,NA,NA,NA,2012,NA
737,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
740,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
746,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
747,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
748,130,NA,NA,No,NA,NA,NA,NA,2013,NA
749,17,NA,NA,No,NA,NA,NA,NA,2013,NA
753,69,NA,NA,No,NA,NA,NA,NA,2013,NA
754,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
756,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
757,28,NA,NA,No,NA,NA,NA,NA,2013,NA
759,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
760,2,NA,NA,No,NA,NA,NA,NA,2013,NA
761,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
763,119,NA,NA,No,NA,NA,NA,NA,2013,NA
764,26,NA,NA,Yes,4.42,NA,NA,NA,2013,NA
765,95,NA,NA,Yes,1,NA,NA,NA,2013,NA
766,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
767,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
768,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
769,142,NA,NA,No,NA,NA,NA,NA,2013,NA
770,104,NA,NA,No,NA,NA,NA,NA,2013,NA
771,8,NA,NA,No,NA,NA,NA,NA,2013,NA
772,108,NA,NA,Yes,1.865,NA,NA,NA,2013,NA
773,54,NA,NA,Yes,2.76,NA,NA,NA,2013,NA
774,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
775,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
776,138,NA,NA,No,NA,NA,NA,NA,2013,NA
777,70,NA,NA,No,NA,NA,NA,NA,2013,NA
778,47,NA,NA,No,NA,NA,NA,NA,2013,NA
779,127,NA,NA,Yes,3.383,NA,NA,NA,2013,NA
780,107,NA,NA,No,NA,NA,NA,NA,2013,NA
782,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
783,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
787,22,NA,NA,Yes,2.159,NA,NA,NA,2013,NA
788,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
789,93,NA,NA,Yes,2.504,NA,NA,NA,2013,NA
790,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
791,143,NA,NA,Yes,2.159,NA,NA,NA,2013,NA
794,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
797,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
798,97,NA,NA,Yes,5.667,NA,NA,NA,2013,NA
801,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
802,52,NA,NA,Yes,2.031,NA,NA,NA,2013,NA
807,101,NA,NA,No,NA,NA,NA,NA,2013,NA
808,57,NA,NA,No,NA,NA,NA,NA,2013,NA
820,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
829,94,NA,NA,No,NA,NA,NA,NA,2013,NA
835,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
844,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
846,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
